"Qty","Value","Device","Package","Parts","Description","",
"1","2.2uH","B82144B2222K","B82144B2222K","L5","INDUCTOR","",
"2","2.2uH","L-USL1812","L1812","L1, L3","INDUCTOR, American symbol","",
"1","2.55k","R-US_R0603","R0603","R39","RESISTOR, American symbol","",
"1","20k","R-US_R0402","R0402","R41","RESISTOR, American symbol","",
"1","220pF","C-EUC0603","C0603","C45","CAPACITOR, European symbol","",
"4","220uF","CPOL-EUE5-6","E5-6","C60, C63, C66, C69","POLARIZED CAPACITOR, European symbol","",
"5","22uF","C-EUC0603","C0603","C29, C41, C42, C43, C49","CAPACITOR, European symbol","",
"2","250mOhm","R-US_R1206","R1206","R23, R24","RESISTOR, American symbol","",
"1","29.4k","R-US_R0402","R0402","R21","RESISTOR, American symbol","",
"5","2PIN_OST_3251","2PIN_OST_3251","2PIN_OST_3251","J2, J4, J5, J7, J8","OST CONNECTOR","",
"1","3.5nH","LQP15MN3N6B02D","L0402","L8","INDCUTOR","",
"1","33k","R-US_R0402","R0402","R20","RESISTOR, American symbol","",
"1","33uH","AIUR-03-330K","AIUR-03","L4","INDUCTOR","",
"1","37.4k","R-US_R0603","R0603","R72","RESISTOR, American symbol","",
"1","39k","R-US_R0603","R0603","R37","RESISTOR, American symbol","",
"4","4.7uF","C-EUC0402","C0402","C15, C16, C17, C18","CAPACITOR, European symbol","",
"1","45.3k","R-US_R0603","R0603","R18","RESISTOR, American symbol","",
"3","47k","R-US_R0402","R0402","R25, R28, R43","RESISTOR, American symbol","",
"7","4PIN_JST","4PIN_JST","4PIN_JST","J6, J10, J11, J12, J13, J14, J15","JST CONNECTOR","",
"1","4PIN_OST_3251","4PIN_OST_3251","4PIN_OST_3251","J3","OST CONNECTOR","",
"2","5.6k","R-US_R0603","R0603","R62, R63","RESISTOR, American symbol","",
"1","5mOhm","R-US_R2512","R2512","R19","RESISTOR, American symbol","",
"2","6pF","C-EUC0402","C0402","C8, C9","CAPACITOR, European symbol","",
"1","78.7k","R-US_R0603","R0603","R40","RESISTOR, American symbol","",
"1","ABS07-32.768KHZ-T","ABS07-32.768KHZ-T","ABS07-32.768KHZ-T","Y1","CRYSTAL","",
"1","AO3407A","AO3407A","SOT23","Q1","PFET","",
"3","B540C","B540C","B540C","D3, D4, D5","DIODE","",
"1","CC3100CORRECT_QFN","CC3100CORRECT_QFN","QFN64","U12","WIFI IC","",
"1","CRS08","CRS08","CRS08","D1","DIODE","",
"1","DEA202450BT","DEA202450BT","DEA202450BT","FL1","BAND PASS FILTER","",
"3","DRV8842","DRV8842","DRV8842","U8, U9, U10","MOTOR DRIVER","",
"1","DRV8843","DRV8843","DRV8842","U11","MOTOR DRIVER","",
"1","LM27313","LM27313","LM2830","U4","REGULATOR","",
"1","LM2830","LM2830","LM2830","U3","REGULATOR","",
"1","LTC2942","LTC2942","LTC2942","U7","GAS GAUGE","",
"1","LTC4002","LTC4002","LTC4002","U6","CHARGER IC","",
"1","M25PX80","M25PX80","SO8N","U13","FLASH MEMORY","",
"1","MBR0520","MBR0520","MBR05XX","D2","DIODE","",
"1","NONE","BBB","BBB","J1","BBB CONNECTOR","",
"4","NOSTUFF","C-EUC0402","C0402","C21, C22, C54, C58","CAPACITOR, European symbol","",
"1","Q24FA20H00396","Q24FA20H00396","Q24FA20H00396","Y2","CRYSTAL","",
"1","SMA_CONNECTOR","SMA_CONNECTOR","SMA_CONNECTOR","J16","SMA CONNECTOR","",
"10","TEST_POINT","TEST_POINT","TEST_POINT","TP1, TP2, TP3, TP4, TP5, TP6, TP13, TP14, TP15, TP16","TEST POINT","",
"6","TP25MIL","TP25MIL","TP25MIL","TP7, TP8, TP9, TP10, TP11, TP12","TEST POINT","",
"2","TPS27081A","TPS27081A","TPS27081A","U1, U2","LOAD SWITCH","",
"1","TPS55340","TPS55340","TPS55340","U5","REGULATOR","",
